chapter_id,chapter_number,title,book_file,data_files,python_files,r_files,spss_amos_files,support_files,figure_files,software_coverage,status,missing_required
chapter01,1,GİRİŞ,chapters/chapter01.tex,,,,,,,,ready,
chapter02,2,"Veri Türleri, Betimleyici Analiz ve Görselleştirme",chapters/chapter02.tex,data/chapter02_student_data.csv,code/Python/chapter02_analysis.py,code/R/chapter02_analysis.R,code/SPSS/chapter02_analysis.sps,support/chapter02_expected_summary.csv;support/chapter02_missing_summary.csv;support/reproducibility_logs/chapter02_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter03,3,Veri Hazırlama ve Tekrarlanabilir Araştırma İş Akışları,chapters/chapter03.tex,data/chapter03_audit_summary.csv;data/chapter03_clean_student_data.csv;data/chapter03_clean_student_data_python.csv;data/chapter03_cleaning_log.csv;data/chapter03_codebook.csv;data/chapter03_raw_student_data.csv;data/chapter03_validation_issues.csv;data/chapter03_validation_summary.csv,code/Python/chapter03_cleaning.py,code/R/chapter03_cleaning.R,code/SPSS/chapter03_cleaning.sps,support/chapter03_audit_python.csv;support/chapter03_audit_summary.csv;support/chapter03_audit_summary_2.csv;support/chapter03_metrics.json;support/chapter03_metrics_2.json;support/chapter03_validation_issues.csv;support/chapter03_validation_issues_2.csv;support/chapter03_validation_summary.csv;support/chapter03_validation_summary_2.csv;support/reproducibility_logs/chapter03_cleaning.log,,Python;R;SPSS/AMOS,ready,
chapter04,4,"Eksik Veri, Aykırı Değerler ve Veri Kalitesi",chapters/chapter04.tex,data/chapter04_complete_reference.csv;data/chapter04_incomplete_data.csv;data/chapter04_influence_diagnostics.csv;data/chapter04_missing_patterns.csv;data/chapter04_missing_summary.csv;data/chapter04_model_comparison.csv;data/chapter04_robust_comparison.csv,code/Python/chapter04_analysis.py,code/R/chapter04_analysis.R,code/SPSS/chapter04_analysis.sps,support/chapter04_influence_diagnostics.csv;support/chapter04_missing_patterns.csv;support/chapter04_missing_summary.csv;support/chapter04_model_comparison.csv;support/chapter04_robust_comparison.csv;support/reproducibility_logs/chapter04_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter05,5,"İstatistiksel Çıkarım, Etki Büyüklükleri ve Belirsizlik",chapters/chapter05.tex,data/chapter05_binary_results.csv;data/chapter05_continuous_results.csv;data/chapter05_effect_sizes.csv;data/chapter05_group_summary.csv;data/chapter05_randomised_study.csv,code/Python/chapter05_analysis.py,code/R/chapter05_analysis.R,code/SPSS/chapter05_analysis.sps,support/chapter05_binary_results.csv;support/chapter05_continuous_results.csv;support/chapter05_effect_sizes.csv;support/chapter05_group_summary.csv;support/reproducibility_logs/chapter05_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter06,6,"Güç, Duyarlılık ve Örneklem Büyüklüğü Planlaması",chapters/chapter06.tex,data/chapter06_planning_scenarios.csv,code/Python/chapter06_planning.py,code/R/chapter06_planning.R,code/SPSS/chapter06_planning.sps,support/chapter06_planning_results.csv;support/chapter06_power_curve.csv;support/chapter06_precision_curve.csv;support/chapter06_type_s_m_simulation.csv;support/reproducibility_logs/chapter06_planning.log,,Python;R;SPSS/AMOS,ready,
chapter07,7,İki Grubu Karşılaştırma,chapters/chapter07.tex,data/chapter07_independent_groups.csv;data/chapter07_paired_study.csv,code/Python/chapter07_analysis.py,code/R/chapter07_analysis.R,code/SPSS/chapter07_analysis.sps,support/chapter07_binary_results.csv;support/chapter07_independent_effect_sizes.csv;support/chapter07_independent_results.csv;support/chapter07_independent_summary.csv;support/chapter07_paired_effect_sizes.csv;support/chapter07_paired_results.csv;support/chapter07_paired_summary.csv;support/reproducibility_logs/chapter07_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter08,8,ANOVA ve Faktöriyel Tasarımlar,chapters/chapter08.tex,data/chapter08_factorial_design.csv;data/chapter08_oneway_anova.csv,code/Python/chapter08_analysis.py,code/R/chapter08_analysis.R,code/SPSS/chapter08_analysis.sps,support/chapter08_emm_delivery.csv;support/chapter08_emm_feedback.csv;support/chapter08_factorial_anova.csv;support/chapter08_factorial_cell_summary.csv;support/chapter08_factorial_effect_sizes.csv;support/chapter08_games_howell.csv;support/chapter08_oneway_anova_results.csv;support/chapter08_oneway_effect_sizes.csv;support/chapter08_oneway_summary.csv;support/chapter08_planned_contrasts.csv;support/chapter08_simple_delivery_effects.csv;support/chapter08_simple_feedback_effects.csv;support/chapter08_tukey_hsd.csv;support/reproducibility_logs/chapter08_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter09,9,Dayanıklı ve Parametrik Olmayan Yöntemler,chapters/chapter09.tex,data/chapter09_repeated_measures.csv;data/chapter09_robust_groups.csv,code/Python/chapter09_analysis.py,code/R/chapter09_analysis.R,code/SPSS/chapter09_analysis.sps,support/chapter09_friedman_results.csv;support/chapter09_group_summary.csv;support/chapter09_ols_hc3_comparison.csv;support/chapter09_omnibus_results.csv;support/chapter09_pairwise_mann_whitney.csv;support/chapter09_pairwise_wilcoxon.csv;support/chapter09_quantile_regression.csv;support/chapter09_repeated_summary.csv;support/chapter09_two_group_results.csv;support/reproducibility_logs/chapter09_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter10,10,Korelasyon ve Basit Regresyon,chapters/chapter10.tex,data/chapter10_correlation_regression.csv,code/Python/chapter10_analysis.py,code/R/chapter10_analysis.R,code/SPSS/chapter10_analysis.sps,support/chapter10_correlation_matrix.csv;support/chapter10_correlation_results.csv;support/chapter10_hc3_results.csv;support/chapter10_influence_diagnostics.csv;support/chapter10_model_summary.csv;support/chapter10_predictions.csv;support/chapter10_regression_results.csv;support/reproducibility_logs/chapter10_analysis.log,,Python;R;SPSS/AMOS,ready,
